"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","INFO","-----BEGIN CERTIFICATE----- MIIIsjCCBpqgAwIBAgIRAK71izlVTpNaYt46W1uqxqIwDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIxMTAyMTIyMDAwMFoX DTIyMTAyMTIxNTk1OVowgakxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzEm MCQGA1UECgwdR09VVkVSTkVNRU5UIFBSRU1JRVIgTUlOSVNUUkUxHDAaBgNVBAsM EzAwMDIgMTEwMDAxMDEzMDAwMTcxLzAtBgNVBAMMJm1hdHJpeC1zaXIuYWdlbnQu anVzdGljZS50Y2hhcC5nb3V2LmZyMRMwEQYDVQQFEwpTMjE1ODkxNzExMIIBIjAN BgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA36/oQL2sHUJUkHloM4e43PsIkSM0 38zXVVtDgU11yPNfjogYYlnN9Qlwbtx6Q6jZzLVMrq67gaF3wqGcZ4Rw9yLyhVRj qhKmGuMH3SzTQZwqzzG4D3o3pK5rqoajTRg1ekXXPAPOZxWljjS6GPIsGxwqmEuQ 5aU06TMFgDHrM+cARK3FkFNWH9/NSp/rs0sG5XsK1w2TWmfWmbbB5TIbGyGcNMjM FLAitEaTArLeotNRD1iKYma48RbIcZn66jH/NNj54I8iyUGFgzDQ9t0tYKvaHhHN w6d20VJqrnlkgEZ66sszCXAj9UKWg1yICGFvcbLJJKdGQ4ZYvzTqONFuuwIDAQAB o4ID/jCCA/owgeQGCCsGAQUFBwEBBIHXMIHUMDgGCCsGAQUFBzAChixodHRwOi8v YXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjA2BggrBgEFBQcw AoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMC4G CCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMDAG CCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20w HwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwCQYDVR0TBAIwADBhBgNV HSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9o dHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBl BgNVHR8EXjBcMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2Vydmlj ZXNjYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNj YS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMFUGA1Ud EQROMEyCJm1hdHJpeC1zaXIuYWdlbnQuanVzdGljZS50Y2hhcC5nb3V2LmZygiJt YXRyaXguYWdlbnQuanVzdGljZS50Y2hhcC5nb3V2LmZyMB0GA1UdDgQWBBS9xyn9 K1D5ojpOxnBQmbc3zDxRajCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHcAKXm+ 8J45OSHwVnOfY6V35b5XfZxgCvj5TV0mXCVdx4QAAAF8qGuWjwAABAMASDBGAiEA ydr8yIthTJnfb8EjX/pUkVfaGW+PLsqD81Eb2POnvfsCIQDcN1+xvFCfaejXotE7 dCXps+K0b3KOiBcjdKwKmPtQJgB2AEalVet1+pEgMLWiiWn0830RLEF0vv1JuIWr 8vxw/m1HAAABfKhrmkEAAAQDAEcwRQIgKSGBAZeEQz3sIOTrHwA1Tpt/qIJHd9IR C8DiEir2gGwCIQDuIOhBH4ZOCpTmWb7Cj41f5M5tciTxAUdOa3FS+Fx/SwB1AG9T dqwx8DEZ2JkApFEV/3cVHBHZAsEAKQaNsgiaN9kTAAABfKhrnR8AAAQDAEYwRAIg YBJLEd1rbbwzTfkD/1GpN2g3y1kGd/KNO6kRIpVooX8CIGLOTrzfAzYcyt7DyO4s tzEjKqFBN8EcuykVML0EKjG3MA0GCSqGSIb3DQEBCwUAA4ICAQAhgDMSiwRdq/1+ REnYFqNwWuTgPbZh+BqcnIY5fuDnz/7KH2bezUXHbXlMjz3myB69IlDLsSEWTv4p asHH8V3WIQDrhhtEJicTeEvW8941+EA+V3dlUSk5yNcr/r21LW/T6iaGfkzh73OW 0tR64wavRc17zFi/214MQw4xi2UhQVgQK5XxV4XDWxUxa9hX4i7mhQMzwXVHXCzY QJ5xhFVEtY4YotqQsJgNHGwhSO9fth18bjfxvvaLaVBuEdMgL7tMyrhgQXip4vE0 7taPqujXb7uQ75stTlKxbDGk0ljNxiklzk0s1fUzgMxgjzWmIQhcKYbUoO4DmqWZ 4ENW66HXtx4B0TLKgy0W7D/6jbpmLErMIIDqjspzmkOD2kIu0UT/WSgADDtgriaK jQt8Egir1TSIjxdqPFZWMjkZg00i4NWQB8sFXJ9KLZU+5ZgJ66bBuZLgHdhsGHAT SN7Y+4becd/ljq3nVsQGGa2lSiBQkmiWjCzcZnP/tgGICtAZ58vEogAK2WMpgyf7 UN939rHaI9Zen1Gs9OZcNCWFmGCBw/Ykm9N2x0+ypQZbMt4bPJiIexCzaqv9PA0E 8VnkcLg14E9u6TivX+SrlTmWuGSgtrvm/aY+oxSTgaQhO4rxAeed/WJZRRHrdbsX FGP3skYFFLtPayZcMaowBHXquPWklw== -----END CERTIFICATE-----","",""
"cert_commonName","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","OK","matrix-sir.agent.justice.tchap.gouv.fr","",""
"cert_commonName_wo_SNI","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","INFO","matrix-sir.agent.culture.tchap.gouv.fr","",""
"cert_subjectAltName","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","INFO","matrix-sir.agent.justice.tchap.gouv.fr matrix.agent.justice.tchap.gouv.fr","",""
"cert_trust","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","CRITICAL","Some certificate trust checks failed -> Java (chain incomplete)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","INFO","no","",""
"cert_expirationStatus","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","OK","131 >= 60 days","",""
"cert_notBefore","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","INFO","2021-10-21 22:00","",""
"cert_notAfter","matrix.agent.justice.tchap.gouv.fr/143.196.253.101","443","OK","2022-10-21 21:59","",""
