"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIljCCBn6gAwIBAgIRAOiquNIvyK2XplDslIEYhvYwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIyMDkxMTIyMDAwMFoXDTIzMTAxMzIxNTk1OVowgYwxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzEmMCQGA1UECgwdR09VVkVSTkVNRU5UIFBSRU1JRVIgTUlOSVNUUkUxMDAuBgNVBAMMJ21hdHJpeC1zaXIuYWdlbnQuZmluYW5jZXMudGNoYXAuZ291di5mcjETMBEGA1UEBRMKUzI0ODM3MDQ2MDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALy3M4IvvfCwJ4FleIdyAl22FqNVq5siLqiFehs/LOw3bNlk+BiUpEfHrUuhRc4M6F1VniCP1966W5+qBNqWj6BlHicHBlMlNXDrmPEc+DQ+UatuLEnnULHbqTK3LfxRNjgJ0R5ZWi6g+UoqYxewXaJTUPzcF41z3IS6v4q4eoY2WUDLn+WQNqJimoUFu2gBlIC6KEyQjAiv/UZpyzMk8+pby25w/0D9dqd8duVT+7ni/Aln2sKbR8X1XDhDkDkRLsr+hO8WWf/utfIz1uwiisNbZE4W6yNKzreITN/KPNTJfCpj8YpKr05p+WRqSd/5AuF+Lpgjc0to96g5pg6DvqkCAwEAAaOCA/8wggP7MIHkBggrBgEFBQcBAQSB1zCB1DA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDBXBgNVHREEUDBOgiNtYXRyaXguYWdlbnQuZmluYW5jZXMudGNoYXAuZ291di5mcoInbWF0cml4LXNpci5hZ2VudC5maW5hbmNlcy50Y2hhcC5nb3V2LmZyMB0GA1UdDgQWBBTjS5ZjIODzf2k4xkKiNRY/n+DwEzCCAX0GCisGAQQB1nkCBAIEggFtBIIBaQFnAHYArfe++nz/EMiLnT2cHj4YarRnKV3PsQwkyoWGNOvcgooAAAGDMpqT0wAABAMARzBFAiEA0qJc5adSPOBrTSLJnLo9KrXLXZTnvnjHodSJQLDeYE0CIEit0h86dDYtWclB4o1TfTZ/Ix5VPxUHb5XkuNyOkOtpAHUA6D7Q2j71BjUy51covIlryQPTy9ERa+zraeF3fW0GvW4AAAGDMpqVpAAABAMARjBEAiBbIAdx7ZReF5aLg9tYdTQzQEuPMuMrL3aXEefIzJ3zswIgcyV/+yGuHmC5JcAy2iPbdxjAT82ile3Xi0bmkkhq4z4AdgCzc3cH4YRQ+GOG1gWp3BEJSnktsWcMC4fc8AMOeTalmgAAAYMymplUAAAEAwBHMEUCIQDaIhGkZMis84dInMvVb9WZUPng/G1eXh+Hybj6+vPHCgIgfTMx2M5nNvBLzrp+bWkVda0s82QOQaLXq+x6/vsv3bowDQYJKoZIhvcNAQELBQADggIBALAqg+2n2XdGxtyZzB5Nvke6mcyiflEF/arUSUB8Jzv/fxU7snb4P9Vs4DeQWDRaCOAyc67+0pqynowQzQKGJzIYtJQ9r+3Oi5+9vrM96zqm8F0Q9lAukgSqF3Z/8pEmQcRoXKUOfz9bTvtwVRhtRMwLwmuB+eRgkNC2gBWQo5qotoDvWJuSipj3Jx7TSHa1SLfhcPQgT9MxdTa9u/akBXgLmpRRkfc8legY0AJRO9sOJJkIVwJl+iadFZKTjVZz1wNiL9FYIjWcp6l1vijUo8bmAgqEmQ6bZ6U+UfzovUWg0WkOxzzHEgudigMm37/+GCFmV0Y/cPSyr9kOrDmYcOjDNdqHNEDDoki7NLshBIsTsXJ12zXnZc55cfogqi4Jjh10EUQlnzQNuKJHKx+CH+CTxzSFv2wI/CqT9HbfMUqZpB9hY+KxQwlpylNrOC8Ju/7GDMOG+vdVXhJWgGDHakOmP/aOTk0dPL0QxIHAYpSthoaA0ds5zBLtrd1ofG8aIj3ckBO9cgUNL9FaHM2FxwZSGejsVGVFAfx+Npd9avpZWlMQw4yOhTCleDJ+sUA+rjEcImoxkUWVe89hRV+DvsMIeVdp1LlFyGlN4RKuy4aUj7R7P4CWCHmwS7QqT/el0OSCkdwQDAJsOE2RBA28HPaHGKadOyUb+CKn11xCsq8g\n-----END CERTIFICATE-----","",""
"cert_commonName","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","OK","matrix-sir.agent.finances.tchap.gouv.fr","",""
"cert_commonName_wo_SNI","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","INFO","matrix-sir.agent.interieur.tchap.gouv.fr","",""
"cert_subjectAltName","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","INFO","matrix.agent.finances.tchap.gouv.fr matrix-sir.agent.finances.tchap.gouv.fr","",""
"cert_trust","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","CRITICAL","Some certificate trust checks failed -> Java (self signed CA in chain)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","INFO","no","",""
"cert_expirationStatus","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","HIGH","expires < 30 days (26)","",""
"cert_notBefore","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","INFO","2022-09-11 22:00","",""
"cert_notAfter","matrix.agent.finances.tchap.gouv.fr/143.196.253.101","443","HIGH","2023-10-13 21:59","",""
